strategy,hardware,offload_split,offload_frac,disk_frac,mean_latency_ms,total_time_s,prefill_time_s,accuracy
h2o_256,Gaudi_3,0.5/0.5/0.0,0.5,0.0,3.5217749767249202,1.6763189990778227,0.003475885133485536,67.0
h2o_256,Gaudi_3,0.3/0.3/0.4,0.3,0.4,4.417031015813944,2.1015656176451087,0.003475885133485536,67.0
h2o_256,Gaudi_3,0.5/0.0/0.5,0.0,0.5,4.603224786552223,2.1900076587457913,0.003475885133485536,67.0
h2o_256,M4_Max,1.0/0.0/0.0,0.0,0.0,24.14352972980453,11.529657367952804,0.06148074629565217,67.0
h2o_256,M4_Max,0.7/0.3/0.0,0.3,0.0,24.137400679903635,11.52674606924988,0.06148074629565217,67.0
h2o_256,M4_Max,0.5/0.5/0.0,0.5,0.0,24.13322376657916,11.524762035420753,0.06148074629565217,67.0
h2o_256,Snapdragon_X_Elite,1.0/0.0/0.0,0.0,0.0,96.92917082700936,46.164317635420744,0.12296149259130434,67.0
h2o_256,Snapdragon_X_Elite,0.7/0.3/0.0,0.3,0.0,96.904564494319,46.15262962739283,0.12296149259130434,67.0
h2o_256,Snapdragon_X_Elite,0.5/0.5/0.0,0.5,0.0,96.88779541582514,46.144664315108244,0.12296149259130434,67.0
h2o_512,A100_80GB,1.0/0.0/0.0,0.0,0.0,6.438656276778171,3.0647921189665794,0.006430387496948242,69.0
h2o_512,A100_80GB,0.7/0.3/0.0,0.3,0.0,6.515445790792766,3.101267138123512,0.006430387496948242,69.0
h2o_512,A100_80GB,0.5/0.5/0.0,0.5,0.0,6.554111101125415,3.119633160531521,0.006430387496948242,69.0
h2o_512,A100_80GB,0.3/0.3/0.4,0.3,0.4,7.73499206335921,3.6805516175925734,0.006430387496948242,69.0
h2o_512,A100_80GB,0.5/0.0/0.5,0.0,0.5,7.960425348658311,3.787632428109646,0.006430387496948242,69.0
h2o_512,H100_SXM,1.0/0.0/0.0,0.0,0.0,3.8439738965839827,1.8297266381890025,0.0038390373116108907,69.0
h2o_512,H100_SXM,0.7/0.3/0.0,0.3,0.0,3.8860522826075647,1.849713871550204,0.0038390373116108907,69.0
h2o_512,H100_SXM,0.5/0.5/0.0,0.5,0.0,3.9013399913005724,1.8569755331793827,0.0038390373116108907,69.0
h2o_512,H100_SXM,0.3/0.3/0.4,0.3,0.4,5.106801342608324,2.4295696750505646,0.0038390373116108907,69.0
h2o_512,H100_SXM,0.5/0.0/0.5,0.0,0.5,5.367243825593336,2.553279854468445,0.0038390373116108907,69.0
h2o_512,H200,1.0/0.0/0.0,0.0,0.0,2.6827734486575716,1.276996716236075,0.0026793281237284345,69.0
h2o_512,H200,0.7/0.3/0.0,0.3,0.0,2.7252567237929295,1.2971762719253699,0.0026793281237284345,69.0
h2o_512,H200,0.5/0.5/0.0,0.5,0.0,2.740811223262235,1.30456465917329,0.0026793281237284345,69.0
h2o_512,H200,0.3/0.3/0.4,0.3,0.4,3.9465440682936137,1.8772877605631948,0.0026793281237284345,69.0
h2o_512,H200,0.5/0.0/0.5,0.0,0.5,4.206715057554998,2.0008689804623523,0.0026793281237284345,69.0
h2o_512,B200,1.0/0.0/0.0,0.0,0.0,1.6096640691945427,0.7661980297416449,0.0016075968742370605,69.0
h2o_512,B200,0.7/0.3/0.0,0.3,0.0,1.6525215177159562,0.7865553177893162,0.0016075968742370605,69.0
h2o_512,B200,0.5/0.5/0.0,0.5,0.0,1.6683225686612884,0.794060816988349,0.0016075968742370605,69.0
h2o_512,B200,0.3/0.3/0.4,0.3,0.4,2.8743063113407086,1.3669030947610736,0.0016075968742370605,69.0
h2o_512,B200,0.5/0.0/0.5,0.0,0.5,3.1342264029540514,1.4903651382774115,0.0016075968742370605,69.0
h2o_512,B300,1.0/0.0/0.0,0.0,0.0,1.6096640691945427,0.7661980297416449,0.0016075968742370605,69.0
h2o_512,B300,0.7/0.3/0.0,0.3,0.0,1.6525215177159562,0.7865553177893162,0.0016075968742370605,69.0
h2o_512,B300,0.5/0.5/0.0,0.5,0.0,1.6683225686612884,0.794060816988349,0.0016075968742370605,69.0
h2o_512,B300,0.3/0.3/0.4,0.3,0.4,2.8743063113407086,1.3669030947610736,0.0016075968742370605,69.0
h2o_512,B300,0.5/0.0/0.5,0.0,0.5,3.1342264029540514,1.4903651382774115,0.0016075968742370605,69.0
h2o_512,L40S,1.0/0.0/0.0,0.0,0.0,15.262000063474183,7.264692430143002,0.015242399992766205,69.0
h2o_512,L40S,0.7/0.3/0.0,0.3,0.0,15.335713040758993,7.299706094353287,0.015242399992766205,69.0
h2o_512,L40S,0.5/0.5/0.0,0.5,0.0,15.372351150066532,7.317109196274369,0.015242399992766205,69.0
h2o_512,L40S,0.3/0.3/0.4,0.3,0.4,16.551169176083093,7.877047758632235,0.015242399992766205,69.0
h2o_512,L40S,0.5/0.0/0.5,0.0,0.5,16.778665397599426,7.985108463852494,0.015242399992766205,69.0
h2o_512,RTX_5090,1.0/0.0/0.0,0.0,0.0,7.194029359528682,3.4243487362755074,0.007184790499383511,69.0
h2o_512,RTX_5090,0.7/0.3/0.0,0.3,0.0,7.270555488925162,3.460698647738835,0.007184790499383511,69.0
h2o_512,RTX_5090,0.5/0.5/0.0,0.5,0.0,7.309047249056808,3.4789822338013674,0.007184790499383511,69.0
h2o_512,RTX_5090,0.3/0.3/0.4,0.3,0.4,8.489751601772985,4.039816801341552,0.007184790499383511,69.0
h2o_512,RTX_5090,0.5/0.0/0.5,0.0,0.5,8.715361496589702,4.146981501379493,0.007184790499383511,69.0
h2o_512,MI300X,1.0/0.0/0.0,0.0,0.0,2.429681613878555,1.1565253279119168,0.0024265613196031103,69.0
h2o_512,MI300X,0.7/0.3/0.0,0.3,0.0,2.4722531374540204,1.176746801610263,0.0024265613196031103,69.0
h2o_512,MI300X,0.5/0.5/0.0,0.5,0.0,2.487865785856351,1.1841628096013699,0.0024265613196031103,69.0
h2o_512,MI300X,0.3/0.3/0.4,0.3,0.4,3.6936578048613247,1.7569140186287322,0.0024265613196031103,69.0
h2o_512,MI300X,0.5/0.0/0.5,0.0,0.5,3.9537696201491146,1.8804671308904324,0.0024265613196031103,69.0
h2o_512,MI325X,1.0/0.0/0.0,0.0,0.0,2.146218758926057,1.0215973729888597,0.0021434624989827475,69.0
h2o_512,MI325X,0.7/0.3/0.0,0.3,0.0,2.1888891207544425,1.0418657948573429,0.0021434624989827475,69.0
